[2026-05-06 09:14:46,383] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:14:56,649] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:14:56,747] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.5 | VEL: 0.21
[2026-05-06 09:14:56,747] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:15:07,011] INFO:  >> [SAFE_HANDOVER] Syncing DE30 SL to 24219.92171
[2026-05-06 09:15:07,109] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.42 | VEL: 0.44
[2026-05-06 09:15:07,109] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:15:17,423] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.49
[2026-05-06 09:15:17,423] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:15:27,739] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.56
[2026-05-06 09:15:27,739] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:15:38,056] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.56
[2026-05-06 09:15:38,056] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:15:48,433] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.56
[2026-05-06 09:15:48,433] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:15:58,778] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.56
[2026-05-06 09:15:58,778] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:16:09,161] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.63
[2026-05-06 09:16:09,161] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:16:19,509] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.62
[2026-05-06 09:16:19,511] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:16:29,833] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.55
[2026-05-06 09:16:29,833] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:16:40,195] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.55
[2026-05-06 09:16:40,196] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:16:50,515] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.5
[2026-05-06 09:16:50,515] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:17:00,906] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.53
[2026-05-06 09:17:00,906] INFO:  >> [GUARD] EURUSD position already active. Skipping.
[2026-05-06 09:17:11,224] INFO: SCANNING: EURUSD | PRICE: 1.17 | BIAS: BULLISH | ER: 0.43 | VEL: 0.62
[2026-05-06 09:17:11,224] INFO:  >> [GUARD] EURUSD position already active. Skipping.
